"country","rental_count"
"Thailand","96"
"Virgin Islands, U.S.","32"
"Bangladesh","95"
"Faroe Islands","28"
"Indonesia","367"
"Italy","189"
"Venezuela","170"
"Oman","50"
"Cameroon","54"
"Czech Republic","29"
"Sweden","34"
"Congo, The Democratic Republic of the","50"
"United Kingdom","219"
"Dominican Republic","77"
"Cambodia","53"
"Germany","196"
"American Samoa","20"
"Canada","137"
"Sri Lanka","30"
"Brunei","35"
"Finland","26"
"Anguilla","35"
"South Korea","135"
"Colombia","159"
"Saint Vincent and the Grenadines","25"
"Runion","46"
"Saudi Arabia","121"
"Ukraine","158"
"Argentina","352"
"Liechtenstein","28"
