"name","rating"
"Action","NC-17"
"Animation","NC-17"
"Children","NC-17"
"Classics","NC-17"
"Comedy","NC-17"
"Documentary","NC-17"
"Drama","NC-17"
"Family","NC-17"
"Foreign","NC-17"
"Games","NC-17"
"Horror","NC-17"
"Music","NC-17"
"New","NC-17"
"Sci-Fi","NC-17"
"Sports","NC-17"
"Travel","NC-17"
"Action","R"
"Animation","R"
"Children","R"
"Classics","R"
"Comedy","R"
"Documentary","R"
"Drama","R"
"Family","R"
"Foreign","R"
"Games","R"
"Horror","R"
"Music","R"
"New","R"
"Sci-Fi","R"
"Sports","R"
"Travel","R"
"Action","R"
"Animation","R"
"Children","R"
"Classics","R"
"Comedy","R"
"Documentary","R"
"Drama","R"
"Family","R"
"Foreign","R"
"Games","R"
"Horror","R"
"Music","R"
"New","R"
"Sci-Fi","R"
"Sports","R"
"Travel","R"
"Action","PG-13"
"Animation","PG-13"
"Children","PG-13"
"Classics","PG-13"
"Comedy","PG-13"
"Documentary","PG-13"
"Drama","PG-13"
"Family","PG-13"
"Foreign","PG-13"
"Games","PG-13"
"Horror","PG-13"
"Music","PG-13"
"New","PG-13"
"Sci-Fi","PG-13"
"Sports","PG-13"
"Travel","PG-13"
"Action","PG"
"Animation","PG"
"Children","PG"
"Classics","PG"
"Comedy","PG"
"Documentary","PG"
"Drama","PG"
"Family","PG"
"Foreign","PG"
"Games","PG"
"Horror","PG"
"Music","PG"
"New","PG"
"Sci-Fi","PG"
"Sports","PG"
"Travel","PG"
"Action","G"
"Animation","G"
"Children","G"
"Classics","G"
"Comedy","G"
"Documentary","G"
"Drama","G"
"Family","G"
"Foreign","G"
"Games","G"
"Horror","G"
"Music","G"
"New","G"
"Sci-Fi","G"
"Sports","G"
"Travel","G"
"Action","NC-17"
"Animation","NC-17"
"Children","NC-17"
"Classics","NC-17"
